UID,State,Title,Subtitle,Brief,Text,Response 1,Response 1 Blurb,Response 2,Response 2 Blurb
BI00001,CA,Proposition 30,"Temporary increases taxes on earnings over $250,000 for seven years and sales taxes by 1/4 cent for four years, to fund schools. Guarantees public safety realignment funding.","Increases taxes on earnings over $250,000 for seven years and sales taxes by 1/4 cent for four years, to fund schools. Guarantees public safety realignment funding.",http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Increases taxes on earnings over $250,000 for seven years and sales taxes by _ cent for four years, to fund schools. Guarantees public safety realignment funding. Fiscal Impact: Increased state tax revenues through 2018D19, averaging about $6 billion annually over the next few years. Revenues available for funding state budget. In 2012D13, planned spending reductions, primarily to education programs, would not occur.",No,"Does not increase taxes on earnings over $250,000 for seven years and sales taxes by _ cent for four years, to fund schools. Fiscal Impact: In 2012D13, planned spending reductions, primarily to education programs, would occur."
BI00002,CA,Proposition 31,"Establishes two-year state budget. Sets rules for offsetting new $200 million annually, with corresponding increases of funding to local governments. Other, potentially more significant changes in state and local budgets, depending on future decisions by public officials. ","Establishes two-year state budget. Sets rules for offsetting new $200 million annually, with corresponding increases of funding to local governments. Other, potentially more significant changes in state and local budgets, depending on future decisions by public officials. ",http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Establishes two-year state budget. Sets rules for offsetting new $200 million annually, with corresponding increases of funding to local governments. Other, potentially more significant changes in state and local budgets, depending on future decisions by public officials. Establishes two-year state budget cycle. Prohibits Legislature from creating expenditures of more than $25 million unless offsetting revenues or spending cuts are identified. Permits Governor to cut budget unilaterally during declared fiscal emergencies if Legislature failsto act. Requires performance reviews of all state programs. Requires performance goals in state and local budgets. Requires publication of bills at least three days prior to legislative vote. Allows local governments to alter how laws governing state-funded programs apply to them, unless Legislature or state agency vetoes change within 60 days.",No,Does not establish two-year state budget. Maintains current budget process.
BI00003,CA,Proposition 32,"Prohibits unions from using payroll-deducted funds for political purposes. Applies same use prohibition to payroll deductions, if any, by corporations or government contractors.","Prohibits unions from using payroll-deducted funds for political purposes. Applies same use prohibition to payroll deductions, if any, by corporations or government contractors.",http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Prohibits unions from using payroll-deducted funds for political purposes. Applies same use prohibition to payroll deductions, if any, by corporations or government contractors. Prohibits union and corporate contributions to candidates and their committees. Prohibits government contractor contributions to elected officers or their committees. Fiscal Impact: Increased costs to state and local government, potentially exceeding $1 million annually, to implement and enforce the measureOs requirements.",No,Allows unions to continue using payroll-deducted funds for political purposes. Applies same by corporations or government contractors.
BI00004,CA,Proposition 33,Changes current law to allow insurance companies to set prices based on whether the driver previously carried auto insurance with any insurance company.,Changes current law to allow insurance companies to set prices based on whether the driver previously carried auto insurance with any insurance company.,http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,Changes current law to allow insurance companies to set prices based on whether the driver previously carried auto insurance with any insurance company. Allows proportional discount for drivers with some prior coverage. Allows increased cost for drivers without history of continuous coverage. ,No,Maintains current law not allowing insurance companies to set prices based on whether the driver previously carried auto insurance with any insurance company. 
BI00005,CA,Proposition 34,Repeals death penalty and replaces it with life imprisonment without possibility of parole. Directs $100 million to law enforcement agencies for investigations of homicide and rape cases.,Repeals death penalty and replaces it with life imprisonment without possibility of parole. Directs $100 million to law enforcement agencies for investigations of homicide and rape cases.,http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Repeals death penalty and replaces it with life imprisonment without possibility of parole, applying the change retroactively to existing death sentences. Directs $100 million to law enforcement agencies for investigations of homicide and rape cases. Fiscal Impact: Ongoing state and county criminal justice savings of about $130 million annually within a few years, which could vary by tens of millions of dollars. One-time state costs of $100 million for local law enforcement grants.",No,Maintains death penalty.
BI00006,CA,Proposition 35,Increases prison sentences and fines for human trafficking convictions. Requires convicted human traffickers to register as sex offenders. Requires registered sex offenders to disclose Internet activities and identities.,Increases prison sentences and fines for human trafficking convictions. Requires convicted human traffickers to register as sex offenders. Requires registered sex offenders to disclose Internet activities and identities.,http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Increases prison sentences and fines for human trafficking convictions. Requires convicted human traffickers to register as sex offenders. Requires registered sex offenders to disclose Internet activities and identities. Fiscal Impact: Costs of a few million dollars annually to  increased annual fine revenue of a similar amount, dedicated primarily for human trafficking victims.",No,Maintains existing human trafficking and sex offender laws.
BI00007,CA,Proposition 36,Revises law to impose life sentence only when new felony conviction is serious or violent. May authorize re-sentencing if third strike conviction was not serious or violent.,Revises law to impose life sentence only when new felony conviction is serious or violent. May authorize re-sentencing if third strike conviction was not serious or violent.,http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Revises law to impose life sentence only when new felony conviction is serious or violent. May authorize re-sentencing if third strike conviction was not serious or violent. Fiscal Impact: Ongoing state correctional savings of around $70 million annually, with even greater savings (up to $90 million) over the next couple of decades. These savings could vary significantly depending on future state actions.",No,Maintains current three strikes provisions in California law.
BI00008,CA,Proposition 37,Requires labeling of food sold to consumers made from plants or animals with genetic material changed in specified ways. ,Requires labeling of food sold to consumers made from plants or animals with genetic material changed in specified ways. ,http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Requires labeling of food sold to consumers made from plants or animals with genetic material changed in specified ways. Prohibits marketing such food, or other processed food, as Onatural."" Provides exemptions. Fiscal Impact: Increased annual state costs from a few hundred thousand dollars to over $1 million to regulate the labeling of genetically engineered foods. Additional, but likely not significant, governmental costs to address violations under the measure.",No,Maintains existing food labeling regulations.
BI00009,CA,Proposition 38,"Increases taxes on earnings using sliding scale, for twelve years. Revenues go to KD12 schools and early childhood programs, and for four years to repaying state debt. ","Increases taxes on earnings using sliding scale, for twelve years. Revenues go to KD12 schools and early childhood programs, and for four years to repaying state debt. ",http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Increases taxes on earnings using sliding scale, for twelve years. Revenues go to KD12 schools and early childhood programs, and for four years to repaying state debt. Fiscal Impact: Increased state tax revenues for 12 yearsNroughly $10 billion annually in initial years, tending to grow over time. Funds used for schools, child care, and preschool, as well as providing savings on state debt payments.",No,"Maintains current tax, K-12 funding, and state debt levels. "
BI00010,CA,Proposition 39,Requires multistate businesses to pay income taxes based on percentage of their sales in California. Dedicates revenues for five years to clean/efficient energy projects.,Requires multistate businesses to pay income taxes based on percentage of their sales in California. Dedicates revenues for five years to clean/efficient energy projects.,http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,"Requires multistate businesses to pay income taxes based on percentage of their sales in California. Dedicates revenues for five years to clean/efficient energy projects. Fiscal Impact: Increased state revenues of $1 billion annually, with half of the revenues over the next five years spent on energy efficiency projects. Of the remaining revenues, a significant portion likely would be spent on schools.",No,Maintains current business taxes.
BI00011,CA,Proposition 40,"A OYes"" vote approves, and a ONo"" vote rejects, new State Senate districts drawn by the Citizens Redistricting Commission. If rejected, districts will be adjusted by officials supervised by the California Supreme Court.","A OYes"" vote approves, and a ONo"" vote rejects, new State Senate districts drawn by the Citizens Redistricting Commission. If rejected, districts will be adjusted by officials supervised by the California Supreme Court.",http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,Approves new State Senate districts drawn by the Citizens Redistricting Commission. Fiscal Impact: Approving the referendum would have no fiscal impact on the state and local governments.,No,"Rejects new State Senate districts drawn by the Citizens Redistricting Commission. If rejected, districts will be adjusted by officials supervised by the California Supreme Court. Fiscal Impact: Rejecting the referendum would result in a one-time cost of about $1 million to the state and counties."
BI00012,WA,Initiative Measure 1185,This measure would restate existing statutory requirements regarding tax and fee increases. ,This measure would restate existing statutory requirements regarding tax and fee increases. ,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Yes,"Restates existing statutory requirements that legislative actions raising taxes must be approved by two-thirds legislative majorities or receive voter approval, and that new or increased fees require majority legislative approval. ",No,"Does not restate existing statutory requirements that legislative actions raising taxes must be approved by two-thirds legislative majorities or receive voter approval, and that new or increased fees require majority legislative approval. "
BI00013,WA,Initiative Measure 1240,Would authorize up to forty publicly-funded charter schools. ,This measure would authorize up to forty publicly-funded charter schools. ,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Yes,"Authorizes up to forty publicly-funded charter schools open to all students, operated through approved, nonreligious, nonprofit organizations, with government oversight; and modify certain laws applicable to them as public schools. ",No,Does not authorize up to forty publicly-funded charter schools. 
BI00014,WA,Referendum Measure 74,"Would allow same-sex couples to marry, preserve domestic partnerships only for seniors, and preserve the right of clergy or religious organizations to refuse to perform, recognize, or accommodate any marriage ceremony.","This bill would allow same-sex couples to marry, preserve domestic partnerships only for seniors, and preserve the right of clergy or religious organizations to refuse to perform, recognize, or accommodate any marriage ceremony.",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Approved,"The legislature passed Engrossed Substitute Senate Bill 6239 concerning marriage for same-sex couples, modified domestic-partnership law, and religious freedom, and voters have filed a sufficient referendum petition on this bill. This bill would allow same-sex couples to marry, preserve domestic partnerships only for seniors, and preserve the right of clergy or religious organizations to refuse to perform, recognize, or accommodate any marriage ceremony.",Rejected,"Undoes Engrossed Substitute Senate Bill 6239 concerning marriage for same-sex couples, modified domestic-partnership law, and religious freedom. Under the revised law, same-sex couples will not be allowed to marry, but will retain domestic partnerships."
